Test result:


NO,probability,connected,isolated
0,0.003380,0.000000,1.000000
1,0.005900,0.042000,0.958000
2,0.006400,0.174000,0.826000
3,0.006700,0.312000,0.688000
4,0.006800,0.332000,0.668000
5,0.057000,1.000000,0.000000
6,0.007500,0.592000,0.408000
7,0.008990,0.856000,0.144000
8,0.009400,0.918000,0.082000
9,0.138000,1.000000,0.000000



Test result:


NO,probability,diameter
0,0.010000,0.000000
1,0.050000,0.000000
2,0.070000,0.000000
3,0.080000,0.000000
4,0.090000,0.000000
5,0.118000,0.678000
6,0.120000,0.778000
7,0.125000,0.956000
8,0.130000,0.992000
9,0.015000,0.000000
