Test result:


NO,probability,connected,isolated
0,0.003380,0.000000,1.000000
1,0.005900,0.078000,0.922000
2,0.006100,0.116000,0.884000
3,0.006500,0.234000,0.766000
4,0.006800,0.338000,0.662000
5,0.007000,0.416000,0.584000
6,0.007500,0.578000,0.422000
7,0.008990,0.906000,0.094000
8,0.009400,0.920000,0.080000
9,0.138000,1.000000,0.000000



Test result:


NO,probability,diameter
0,0.075000,0.000000
1,0.087300,0.000000
2,0.092500,0.000000
3,0.096500,0.000000
4,0.106500,0.014000
5,0.118900,0.792000
6,0.119000,0.720000
7,0.120000,0.790000
8,0.130000,0.980000
9,0.150000,1.000000
