Test result:


NO,probability,connected,isolated
0,0.003380,0.000000,1.000000
1,0.005900,0.066000,0.934000
2,0.006100,0.114000,0.886000
3,0.006500,0.192000,0.808000
4,0.006800,0.348000,0.652000
5,0.007000,0.428000,0.572000
6,0.007500,0.558000,0.442000
7,0.008990,0.882000,0.118000
8,0.009400,0.894000,0.106000
9,0.138000,1.000000,0.000000



Test result:


NO,probability,diameter
0,0.070000,0.000000
1,0.085000,0.000000
2,0.090000,0.000000
3,0.092500,0.000000
4,0.100000,0.000000
5,0.118000,0.714000
6,0.120000,0.750000
7,0.125000,0.944000
8,0.130000,0.978000
9,0.150000,1.000000
